profile_id,attempt_id,synthetic,generator_version,label_niveau,score_global,questions_repondues,bonnes_reponses,taux_reponse,score_comprehension,score_langue_grammaire,score_connaissance_oeuvres,score_figures_procedes,score_interpretation_justification,score_debutant,score_intermediaire,score_avance
debutant_0001,1,True,positioning_synthetic_v1,debutant,15,20,3,100,0,25,25,0,25,29,14,0
debutant_0001,2,True,positioning_synthetic_v1,debutant,0,20,0,100,0,0,0,0,0,0,0,0
debutant_0001,3,True,positioning_synthetic_v1,debutant,15,20,3,100,0,0,25,50,0,29,14,0
debutant_0001,4,True,positioning_synthetic_v1,debutant,5,20,1,100,0,0,0,0,25,0,14,0
debutant_0002,1,True,positioning_synthetic_v1,debutant,35,20,7,100,25,50,0,25,75,43,57,0
debutant_0002,2,True,positioning_synthetic_v1,debutant,40,20,8,100,0,75,50,0,75,57,43,17
debutant_0002,3,True,positioning_synthetic_v1,debutant,30,20,6,100,25,25,25,50,25,57,14,17
debutant_0002,4,True,positioning_synthetic_v1,debutant,35,20,7,100,75,0,50,25,25,29,43,33
debutant_0003,1,True,positioning_synthetic_v1,debutant,15,20,3,100,0,25,25,25,0,29,14,0
debutant_0003,2,True,positioning_synthetic_v1,debutant,15,20,3,100,25,25,0,25,0,43,0,0
debutant_0003,3,True,positioning_synthetic_v1,debutant,30,20,6,100,50,50,0,50,0,57,14,17
debutant_0003,4,True,positioning_synthetic_v1,debutant,30,20,6,100,0,0,75,75,0,43,14,33
debutant_0004,1,True,positioning_synthetic_v1,debutant,35,20,7,100,25,25,50,25,50,29,57,17
debutant_0004,2,True,positioning_synthetic_v1,debutant,55,20,11,100,50,75,50,25,75,86,57,17
debutant_0004,3,True,positioning_synthetic_v1,debutant,25,20,5,100,25,0,25,0,75,14,43,17
debutant_0004,4,True,positioning_synthetic_v1,debutant,35,20,7,100,25,75,50,0,25,57,29,17
debutant_0005,1,True,positioning_synthetic_v1,debutant,20,20,4,100,25,0,25,25,25,43,14,0
debutant_0005,2,True,positioning_synthetic_v1,debutant,15,20,3,100,25,25,25,0,0,29,14,0
debutant_0005,3,True,positioning_synthetic_v1,debutant,45,20,9,100,75,25,25,100,0,29,57,50
debutant_0005,4,True,positioning_synthetic_v1,debutant,40,20,8,100,50,50,25,25,50,57,29,33
debutant_0006,1,True,positioning_synthetic_v1,debutant,10,20,2,100,25,0,25,0,0,29,0,0
