annee,annotation_basis,barème_suggéré,chapitre,competence,definition,exact_wording,explication,figure,id,importance,label,language,niveau,quality_notes,question,record_type,region,reponse_attendue,requires_teacher_review,roman,session,source_ids,source_status,split,synthetic,terme,texte,type_information,validation_status,vocabulary_scope
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-001,essentielle,Sidi Mohammed,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Sidi Mohammed est un enfant de six ans qui raconte ses souvenirs et se sent souvent seul.,personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-002,essentielle,Lalla Zoubida,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Lalla Zoubida est la mère de Sidi Mohammed et elle parle beaucoup de la vie du quartier.,personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-003,importante,Maâlem Abdeslam,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Maâlem Abdeslam est le père du narrateur et travaille comme artisan.,personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-004,importante,Rahma,fr,debutant,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Rahma est une voisine de Dar Chouafa et la mère de Zineb.,personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-005,importante,Lalla Kenza,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Lalla Kenza, appelée la Chouafa, pratique des rituels qui renforcent l'atmosphère mystérieuse de la maison.",personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-006,importante,Zineb,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Zineb est une enfant du voisinage dont la présence rappelle que Sidi Mohammed vit au milieu d'autres enfants sans cesser de se sentir isolé.,personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-007,secondaire,Fatma Bziouya,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Fatma Bziouya fait partie des habitantes présentées au début du roman et contribue au portrait de la vie collective.,personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-008,importante,Le fqih,fr,intermediaire,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,Le fqih dirige le Msid et représente pour l'enfant l'autorité scolaire et religieuse.,personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-009,essentielle,Le narrateur adulte,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Le narrateur adulte reconstruit son enfance à partir de la mémoire, ce qui introduit une distance entre l'expérience vécue et son interprétation.",personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-010,essentielle,Portrait psychologique de Sidi Mohammed,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"La sensibilité de Sidi Mohammed transforme les lieux ordinaires en expériences intenses, parfois merveilleuses et parfois menaçantes.",personnage,revue_provisoire_assistant,
,synthèse paraphrasée de plusieurs sources pédagogiques,,1,,,False,,,LBM-C1-CONT-011,importante,Lalla Zoubida comme voix orale,fr,avance,,,content_annotation,,,True,La Boîte à merveilles,,"SRC_RESUME_PROFSAMAD, SRC_ANALYSE_LFRANCAIS, SRC_BILAN_APPRENTI, SRC_ANALYSE_APPFRANCAIS",,train,False,,"Par ses récits et ses commentaires, Lalla Zoubida transmet à l'enfant une lecture émotionnelle et sociale du monde qui l'entoure.",personnage,revue_provisoire_assistant,
